origin_country,origin_country_iso,country,country_iso,mode,package_type,product_description,hs_code,max_weight_kg_per_package,max_total_weight_kg,restricted,restricted_details,banned,banned_details,packing_notes
India,IN,United States,US,air,box,lithium-ion battery,850760,2,250,yes,IATA DG declaration required; lithium batteries restricted to cargo-only on many routes; operator approval needed,yes,Counterfeit lithium-ion cells prohibited; battery packs must be UN38.3 tested,UN-certified packaging required; thermal insulation and venting as needed; packaging must be flame resistant
China,CN,Germany,DE,sea,pallet,electronic consumer electronics,851712,1000,25000,no,,no,,IMDG compliant packing; damp-proof outer packaging; palletized with edge protection
Brazil,BR,Spain,ES,multimodal,crate,cosmetics,330499,300,15000,no,,no,,Tamper-evident seals; temperature control not required; compliant labeling
United Kingdom,GB,Canada,CA,road,box,pharmaceutical (prescription),300490,25,12000,yes,Prescription meds require import license and pharmaceutical GMP certificates,no,,Tamper-evident seals; secure secondary containment; cold chain where needed
Japan,JP,Australia,AU,air,envelope,pharmaceutical (prescription),300490,2,200,yes,IATA DG declaration and pharmaceutical cooling requirements,no,,Insulated outer pouch; temperature data logger; tamper-evident seal
United States,US,Japan,JP,air,box,live animal,10619,20,800,yes,Veterinary health certificate; import permit; humane transport standards,yes,Certain live animals prohibited by CITES or invasive species rules,Crate must be sturdy; ventilation; restrict noise and stress; hazmat-free handling
Canada,CA,Mexico,MX,road,box,fresh fruit/vegetables,80810,25,1200,no,,no,,Ventilated packaging; cold chain where required; moisture control
Germany,DE,France,FR,rail,case,chemical (industrial solvent),382200,500,15000,yes,Hazardous materials classification; ADR/IMDG compliance; packaging in UN specification,no,,UN-approved packaging; segregation of incompatible substances; leak-proof packaging
India,IN,Saudi Arabia,SA,sea,crate,pharmaceutical (prescription),300490,1000,26000,yes,"Pharmacovigilance, import license, temperature-controlled shipping",no,,Temperature-controlled container; validated cold chain; GMP certificates
China,CN,Singapore,SG,courier,envelope,cosmetics,330499,1,150,no,,no,,Secure seal; compliant labeling; colorant restrictions per destination
South Korea,KR,Netherlands,NL,sea,pallet,electronic consumer electronics,851712,1000,22000,no,,no,,IMDG compliant; shock-absorbent packaging; pallet corner boards
Italy,IT,Spain,ES,road,box,toys (small),950300,30,9000,no,,no,,Tamper-evident packaging; age-appropriate warnings; choking hazard labeling
Netherlands,NL,United Kingdom,GB,rail,crate,electronic consumer electronics,851712,5000,20000,no,,no,,Secure rail car packaging; shock protection; humidity control
Spain,ES,France,FR,air,box,fresh fruit/vegetables,80810,20,300,no,,no,,Temperature-controlled air freight; insulated boxes; rapid transit
United Arab Emirates,AE,India,IN,courier,envelope, cosmetics,330499,1,100,yes,Cosmetics regulations; import licensing and labeling standards; potential restricted ingredients,no,,Tamper-evident seal; compliant labeling; batch numbers and manufacturing date
Mexico,MX,Canada,CA,road,box,used clothing,630900,25,10000,no,,no,,Original packaging; sorting per condition; moisture protection
Australia,AU,New Zealand,NZ,sea,crate,live animal,10619,200,25000,yes,Import permit; veterinary health certification; quarantine considerations,no,,Sturdy kennel/crate with ventilation; humane handling; allergen-free materials
Singapore,SG,South Korea,KR,air,box,pharmaceutical (prescription),300490,20,400,yes,IATA DG declaration; cold-chain requirements; import permit,no,,Temperature loggers; insulated packaging; rapid handover to carrier
